PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,SEASON,target_fg3_pct,fg3_pct_lag1,fg3_pct_lag2,fg3_pct_trend,fg3_pct_career_avg,fg3a_lag1,fg3a_per_game,high_volume,GP,MIN,AST,TOV,FG_PCT,FT_PCT,gp_lag1,seasons_in_league
2546,Carmelo Anthony,OKC,2017-18,0.357,0.359,0.339,0.019999999999999962,0.3463333333333334,5.7,6.1,1,78,32.1,1.3,1.3,0.404,0.767,74.0,3
2546,Carmelo Anthony,HOU,2018-19,0.328,0.357,0.359,-0.0020000000000000018,0.349,6.1,6.4,1,10,29.4,0.5,0.8,0.405,0.682,78.0,4
2546,Carmelo Anthony,POR,2019-20,0.385,0.328,0.357,-0.02899999999999997,0.3448,6.4,3.9,0,58,32.8,1.5,1.7,0.43,0.845,10.0,5
2546,Carmelo Anthony,POR,2020-21,0.409,0.385,0.328,0.056999999999999995,0.3515,3.9,4.7,0,69,24.5,1.5,0.9,0.421,0.89,58.0,6
2546,Carmelo Anthony,LAL,2021-22,0.375,0.409,0.385,0.023999999999999966,0.3597142857142857,4.7,5.8,1,69,26.0,1.0,0.9,0.441,0.83,69.0,7
2547,Chris Bosh,MIA,2015-16,0.365,0.375,,,0.375,3.8,4.2,0,53,33.5,2.4,1.5,0.467,0.795,44.0,1
2548,Dwyane Wade,CHI,2016-17,0.31,0.284,,,0.284,1.6,2.4,0,60,29.9,3.8,2.3,0.434,0.794,62.0,1
2548,Dwyane Wade,MIA,2017-18,0.288,0.31,0.284,0.026000000000000023,0.297,2.4,1.7,0,67,22.9,3.4,2.1,0.438,0.714,60.0,2
2548,Dwyane Wade,MIA,2018-19,0.33,0.288,0.31,-0.02200000000000002,0.294,1.7,3.6,0,72,26.2,4.2,2.3,0.433,0.708,67.0,3
2550,Kirk Hinrich,ATL,2015-16,0.387,0.345,,,0.345,2.5,1.3,0,46,13.7,1.6,0.7,0.38,0.938,66.0,1
2564,Boris Diaw,SAS,2015-16,0.362,0.32,,,0.32,2.1,0.9,0,76,18.2,2.3,1.3,0.527,0.737,81.0,1
2564,Boris Diaw,UTA,2016-17,0.247,0.362,0.32,0.04199999999999998,0.34099999999999997,0.9,1.1,0,73,17.6,2.3,1.2,0.446,0.743,76.0,2
2571,Leandro Barbosa,GSW,2015-16,0.355,0.384,,,0.384,1.7,1.6,0,68,15.9,1.2,0.8,0.462,0.839,66.0,1
2571,Leandro Barbosa,PHX,2016-17,0.357,0.355,0.384,-0.029000000000000026,0.3695,1.6,1.5,0,67,14.4,1.2,0.7,0.439,0.889,68.0,2
2581,Steve Blake,DET,2015-16,0.344,0.352,,,0.352,2.7,2.6,0,58,17.0,3.4,1.4,0.388,0.8,81.0,1
2590,Mo Williams,CLE,2015-16,0.353,0.342,,,0.342,5.1,2.5,0,41,18.2,2.4,1.4,0.437,0.905,68.0,1
2592,James Jones,CLE,2015-16,0.394,0.36,,,0.36,3.1,2.2,0,48,9.7,0.3,0.3,0.408,0.808,57.0,1
2592,James Jones,CLE,2016-17,0.47,0.394,0.36,0.03400000000000003,0.377,2.2,1.4,0,48,7.9,0.3,0.2,0.478,0.65,48.0,2
2594,Kyle Korver,ATL,2015-16,0.398,0.492,,,0.492,6.0,5.0,1,80,30.0,2.1,1.2,0.434,0.833,75.0,1
2594,Kyle Korver,CLE,2016-17,0.451,0.398,0.492,-0.09399999999999997,0.445,5.0,5.4,1,67,26.2,1.6,1.0,0.464,0.905,80.0,2
2594,Kyle Korver,CLE,2017-18,0.436,0.451,0.398,0.05299999999999999,0.447,5.4,5.2,1,73,21.6,1.2,0.8,0.459,0.889,67.0,3
2594,Kyle Korver,UTA,2018-19,0.397,0.436,0.451,-0.015000000000000013,0.44425000000000003,5.2,5.0,1,70,19.1,1.2,0.8,0.416,0.822,73.0,4
2594,Kyle Korver,MIL,2019-20,0.418,0.397,0.436,-0.03899999999999998,0.43479999999999996,5.0,4.1,0,58,16.6,1.2,0.8,0.43,0.854,70.0,5
2734,Devin Harris,DAL,2015-16,0.329,0.357,,,0.357,3.5,2.5,0,64,20.0,1.8,1.0,0.447,0.721,76.0,1
2734,Devin Harris,DAL,2016-17,0.328,0.329,0.357,-0.02799999999999997,0.34299999999999997,2.5,2.7,0,65,16.7,2.1,0.9,0.399,0.829,64.0,2
