PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FG3M,FG3A,FG3_PCT,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,AST,TOV,SEASON
203952,Andrew Wiggins,MIN,73,34.8,1.6,4.8,0.339,6.8,16.6,0.412,2.8,4.1,0.699,2.5,1.9,2018-19
203952,Andrew Wiggins,GSW,54,34.4,2.1,6.2,0.332,8.1,18.1,0.447,3.5,5.0,0.709,3.7,2.4,2019-20
203952,Andrew Wiggins,GSW,71,33.3,2.0,5.2,0.38,7.1,14.9,0.477,2.4,3.4,0.714,2.4,1.8,2020-21
203952,Andrew Wiggins,GSW,73,31.9,2.2,5.5,0.393,6.5,14.0,0.466,2.0,3.2,0.634,2.2,1.5,2021-22
203952,Andrew Wiggins,GSW,37,32.2,2.4,6.1,0.396,6.8,14.3,0.473,1.2,1.9,0.611,2.3,1.3,2022-23
203952,Andrew Wiggins,GSW,71,27.0,1.3,3.6,0.358,5.0,11.0,0.453,2.0,2.7,0.751,1.7,1.2,2023-24
1629014,Anfernee Simons,POR,70,20.7,1.1,3.2,0.332,3.1,7.7,0.399,1.1,1.3,0.826,1.4,0.9,2019-20
1629014,Anfernee Simons,POR,64,17.3,1.9,4.4,0.426,2.6,6.3,0.419,0.7,0.9,0.807,1.4,0.7,2020-21
1629014,Anfernee Simons,POR,57,29.5,3.1,7.8,0.405,6.2,14.0,0.443,1.8,2.0,0.888,3.9,2.0,2021-22
1629014,Anfernee Simons,POR,62,35.0,3.4,9.1,0.377,7.5,16.9,0.447,2.6,2.9,0.894,4.1,2.1,2022-23
1629014,Anfernee Simons,POR,46,34.4,3.4,8.8,0.385,7.8,18.2,0.43,3.5,3.9,0.916,5.5,2.7,2023-24
1641710,Anthony Black,ORL,69,16.9,0.5,1.4,0.394,1.7,3.6,0.466,0.7,1.2,0.613,1.3,0.8,2023-24
1626148,Anthony Brown,LAL,29,20.6,0.7,2.4,0.286,1.3,4.3,0.31,0.6,0.7,0.85,0.7,0.5,2015-16
203076,Anthony Davis,NOP,61,35.5,0.6,1.8,0.324,9.2,18.6,0.493,5.3,7.0,0.758,1.9,2.0,2015-16
203076,Anthony Davis,NOP,75,36.1,0.5,1.8,0.299,10.3,20.3,0.505,6.9,8.6,0.802,2.1,2.4,2016-17
203076,Anthony Davis,NOP,75,36.4,0.7,2.2,0.34,10.4,19.5,0.534,6.6,8.0,0.828,2.3,2.2,2017-18
203076,Anthony Davis,NOP,56,33.0,0.9,2.6,0.331,9.5,18.3,0.517,6.1,7.7,0.794,3.9,2.0,2018-19
203076,Anthony Davis,LAL,62,34.4,1.2,3.5,0.33,8.9,17.7,0.503,7.2,8.5,0.846,3.2,2.5,2019-20
203076,Anthony Davis,LAL,36,32.3,0.7,2.8,0.26,8.4,17.0,0.491,4.4,5.9,0.738,3.1,2.1,2020-21
203076,Anthony Davis,LAL,40,35.1,0.3,1.8,0.186,9.3,17.4,0.532,4.4,6.1,0.713,3.1,2.1,2021-22
203076,Anthony Davis,LAL,56,34.0,0.3,1.3,0.257,9.7,17.2,0.563,6.2,7.9,0.784,2.6,2.2,2022-23
203076,Anthony Davis,LAL,76,35.5,0.4,1.4,0.271,9.4,16.9,0.556,5.5,6.8,0.816,3.5,2.1,2023-24
1630162,Anthony Edwards,MIN,72,32.1,2.4,7.2,0.329,7.0,16.8,0.417,2.9,3.8,0.776,2.9,2.2,2020-21
